,symbol
0,GOOG
1,AMZN
2,GOOGL
3,AAPL
4,MSFT
5,WMT
6,BABA
7,MRK
8,BHP
9,AVGO
10,ADBE
11,CVX
12,SHOP
13,UNH
14,COST
15,WFC
16,TSM
17,MA
18,MCD
19,TMUS
20,AZN
21,MS
22,NVDA
23,MDT
24,UPS
25,TXN
26,CMCSA
27,SAP
28,BBL
29,NKE
30,HON
31,QCOM
32,PM
33,LIN
34,JNJ
35,JPM
36,NEE
37,PYPL
38,BMY
39,TM
40,CHTR
41,HD
42,SBUX
43,KO
44,UL
45,XOM
46,ORCL
47,PG
48,RY
49,INTU
50,UNP
51,SE
52,AMGN
53,FB
54,AXP
55,C
56,LOW
57,CRM
58,BUD
59,PFE
60,RIO
61,RTX
62,LLY
63,V
64,CSCO
65,MRNA
66,VZ
67,BLK
68,AMT
69,BA
70,SNY
71,HDB
72,NFLX
73,IBM
74,BAC
75,TGT
76,GS
77,SCHW
78,DIS
79,SONY
80,AMAT
81,TD
82,EL
83,TSLA
84,PEP
85,SNAP
86,MMM
87,ISRG
88,GE
89,CAT
90,NOW
91,SQ
92,INTC
93,HSBC
94,TTE
95,VALE
96,ABT
97,DEO
98,AMD
99,DE
100,TU
101,TYL
102,WPM
103,CQP
104,PEAK
105,BR
106,DPZ
107,VEEV
108,FMX
109,KR
110,TXG
111,PH
112,FOX
113,SLF
114,ARE
115,CVS
116,XPEV
117,CRL
118,QSR
119,BIIB
120,CDNS
121,PRU
122,ADI
123,AKAM
124,BBD
125,XM
126,IMO
127,DKNG
128,ALGN
129,PCAR
130,STT
131,DRI
132,GSK
133,DD
134,TTWO
135,ING
136,EXAS
137,GM
138,CTLT
139,VIACA
140,PDD
141,ALL
142,STX
143,CZR
144,TTD
145,JD
146,DRE
147,SSNC
148,GRMN
149,AMC
150,KEYS
151,SPGI
152,EBAY
153,UI
154,AMP
155,WDC
156,PPG
157,PKI
158,NEM
159,BEKE
160,CFG
161,WMG
162,EMR
163,BILL
164,NUE
165,ENB
166,TFX
167,AJG
168,MUFG
169,PUK
170,SKM
171,POOL
172,GMAB
173,MPLX
174,CINF
175,SNN
176,ZBRA
177,FNV
178,DOCU
179,ZM
180,BSBR
181,HPE
182,MELI
183,KEY
184,BBY
185,ALLY
186,NVCR
187,W
188,MGM
189,NTES
190,RF
191,DASH
192,PANW
193,MPWR
194,HOLX
195,GPC
196,LOGI
197,ANET
198,LRCX
199,HAL
200,TECH
201,GRUB
202,HEI
203,MO
204,SO
205,ULTA
206,RMD
207,IDXX
208,BNTX
209,CMS
210,BTI
211,PODD
212,CRWD
213,LU
214,NVR
215,CNQ
216,ROL
217,CI
218,U
219,CRH
220,NOC
221,STLA
222,PNC
223,BXP
224,ERIC
225,AON
226,OKTA
227,ADP
228,CP
229,ICE
230,MSCI
231,TRP
232,KHC
233,TT
234,EW
235,TMO
236,PCG
237,PBA
238,ADSK
